Cohort 19 (Fall 2024 Schedule),,,,,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 1,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 6,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 13,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 20,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 26,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 33,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 39,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR
18,T,9/10/2024,,TAILWIND - Day 2,Tailwind CSS Advanced Features,Trent R.,,23,T,10/15/2024,,JAVASCRIPT,Project Day,Scott B.,,20,T,12/3/2024,,REACT.js,React Project Day,Moses K.,,1,T,1/14/2025,,BACK END - SECURITY,Deep End Dive Introduction,Jason B.,,7,T,2/25/2025,,DATABASE - DAY 7,"""Advanced Filtering (like, wildcards, in, between)        
Joins""",Curtis D.,,14,T,4/12/2025,,ANGULAR,Day #16: Observables in Angular: Going Reactive,Adrien D.,,,,,,,,
19,W,9/11/2024,,Bootstrap - Day 2,Bootstrap Advanced Features,Curtis D.,,24,W,10/16/2024,,JAVASCRIPT,Project Day,Trevor M.,,21,W,12/4/2024,,REACT.js,React Project Day,Trevor M.,,2,W,1/15/2025,,BACK END - SECURITY,Small Business Online Shop - Home Operation,Jason B.,,8,W,2/26/2025,,DATABASE - DAY 8,Indexes and Backups,Thomas C.,,15,W,4/13/2025,,ANGULAR,Day #17: Observables in Angular: Mapping and Combining Streams,Adrien D.,,,,,,,,
20,TH,9/12/2024,,Introduction to Web Development,Project Day - All Projects for Course - Introduction to Web Development Due,Curtis D.,,CAMPUS CLOSED,TH,10/17/2024,,FALL BREAK,NO CLASSES,N/A,,22,TH,12/5/2024,,REACT.js,React Project Day,Moses K.,,3,TH,1/16/2025,,BACK END - SECURITY,SMB Parts Distributor - Small Warehouse in Industrial Complex,Jason B.,,1,TH,2/27/2025,,CAPSTONE,Capstone Project,Curtis D.,,16,TH,4/14/2025,,ANGULAR,Day #18: Firebase and AngularFire Intro (Retrieving and Working with Firebase Documents),Alberto G.,,,,,,,,
1,F,9/13/2024,,JAVASCRIPT,JavaScript Introduction and Debugging,Trevor M.,,CAMPUS CLOSED,F,10/18/2024,,FALL BREAK,NO CLASSES,N/A,,23,F,12/6/2024,,REACT.js,React Project Day,Trevor M.,,1,F,1/17/2025,,BACK END - DEPLOYMENT,Introduction to Docker,Chase S.,,2,F,2/28/2025,,CAPSTONE,Capstone Project,Thomas C.,,17,F,4/15/2025,,ANGULAR,Day #19: Retrieving and Working with Firestore Collections,Megan M.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WEEK 11,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 18,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 25,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 31,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 38,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,,,,,,,
,,,,Lecture (hours),Start Dates,End Dates,,25,M,10/21/2024,,JAVASCRIPT,Project Day,Trevor M.,,24,M,12/9/2024,,REACT.js,React Project Day,Trevor M.,,HOLIDAY,M,1/20/2025,,NO CLASSES,MARTIN LUTHER KING JR. HOLIDAY,N/A,,3,M,3/3/2025,,CAPSTONE,Capstone Project,Thomas C.,,18,M,4/21/2025,,ANGULAR,Day #20: Querying Firebase Collections,Adrien D.,,,,,,,,
"Intro. Web Dev
BasicOS/SourceControl",,,,6,08/15/2024,09/11/2024,,26,T,10/22/2024,,JAVASCRIPT,Project Day,Moses K.,,25,T,12/10/2024,,REACT.js,React Project Presentation,Scott B.,,4,T,1/21/2025,,BACK END - SECURITY, Charter School - Grades K-8 with 400 students,Jason B.,,4,T,3/4/2025,,CAPSTONE,Capstone Project,Curtis D.,,19,T,4/22/2025,,ANGULAR,"Day #21: Authentication and Hosting with Firebase
",Adrien D.,,,,,,,,
HTML/CSS,,,,15,"Hybrid:3 hours
Lab:27 hours",Total: 90 hours,,27,W,10/23/2024,,JAVASCRIPT,Project Day,Trevor M.,,1,W,12/11/2024,,BACKEND PROG. - NODE,Node.js Introduction,Thomas C.,,2,W,1/22/2025,,BACK END - DEPLOYMENT,Creating Docker Images,Chase S.,,5,W,3/5/2025,,CAPSTONE,Capstone Project,Thomas C.,,20,W,4/23/2025,,ANGULAR,Day #22: Angular Modules,Adrien D.,,,,,,,,
Sass,,,,6,,,,28,TH,10/24/2024,,JAVASCRIPT,Project Day,Moses K.,,2,TH,12/12/2024,,BACKEND PROG. - NODE,Node.js Events,Curtis D.,,5,TH,1/23/2025,,BACK END - SECURITY,"Large MultiNational Organization - Amazon, Dell, Kroger, Utilities",Jason B.,,6,TH,3/6/2025,,CAPSTONE,Capstone Project,Curtis D.,,21,TH,4/24/2025,,ANGULAR,Day #23: Angular CLI and Setup Revisited,Alberto G.,,,,,,,,
